neuron,label,count
1287,Coat,1
1287,Pullover,3
1656,Bag,8
1656,Pullover,2
1613,Bag,6
1613,Trouser,1
1613,Pullover,3
1938,Pullover,1
1938,Bag,8
1938,Trouser,1
709,Pullover,3
709,Bag,6
709,Coat,1
2248,Pullover,1
2248,Bag,7
2248,Trouser,1
2248,Shirt,1
2189,Bag,6
2189,T-shirt/top,1
2189,Pullover,3
34,Bag,5
34,Pullover,4
34,Trouser,1
71,Pullover,2
71,Dress,3
71,T-shirt/top,4
71,Shirt,1
1597,T-shirt/top,1
1597,Bag,6
1597,Trouser,1
1597,Pullover,2
1103,Bag,3
1103,Pullover,6
1103,Trouser,1
1940,T-shirt/top,7
1940,Pullover,1
1940,Bag,1
1940,Sneaker,1
2230,Bag,3
2230,Pullover,6
2230,Trouser,1
1247,Pullover,2
1247,Bag,7
1247,Coat,1
470,Bag,7
470,Trouser,1
470,Pullover,2
2131,Bag,5
2131,Pullover,3
2131,T-shirt/top,1
2131,Shirt,1
691,Bag,6
691,Trouser,1
691,Pullover,2
691,T-shirt/top,1
1477,Pullover,2
1477,Bag,7
1477,T-shirt/top,1
2069,Bag,6
2069,Trouser,1
2069,T-shirt/top,1
2069,Shirt,2
141,Bag,5
141,Pullover,3
141,T-shirt/top,1
141,Trouser,1
1733,Bag,6
1733,Trouser,1
1733,Pullover,3
590,Pullover,5
590,Bag,3
590,Shirt,1
590,Trouser,1
104,Bag,6
104,T-shirt/top,1
104,Pullover,2
104,Shirt,1
1776,T-shirt/top,5
1776,Pullover,1
1776,Trouser,1
1776,Dress,2
1776,Ankle boot,1
2094,Bag,5
2094,Trouser,1
2094,Pullover,3
2094,Shirt,1
48,Shirt,1
48,Pullover,2
48,Bag,7
1652,Bag,6
1652,T-shirt/top,1
1652,Pullover,2
1652,Trouser,1
826,Trouser,1
826,Bag,5
826,Pullover,1
826,Shirt,1
826,T-shirt/top,2
1617,Bag,6
1617,Pullover,3
1617,Shirt,1
748,Bag,6
748,Trouser,1
748,Pullover,3
2209,Bag,6
2209,Pullover,3
2209,T-shirt/top,1
1553,Bag,4
1553,Pullover,4
1553,Shirt,1
1553,T-shirt/top,1
321,Pullover,2
321,Sandal,1
321,Dress,5
321,Bag,2
1182,Shirt,2
1182,T-shirt/top,3
1182,Bag,2
1182,Dress,2
1182,Ankle boot,1
1516,Pullover,3
1516,Bag,6
1516,Shirt,1
1984,Pullover,5
1984,Bag,4
1984,Coat,1
364,Bag,6
364,Trouser,1
364,Pullover,3
449,Bag,5
449,Pullover,2
449,T-shirt/top,2
449,Dress,1
2108,Bag,7
2108,Trouser,1
2108,Pullover,1
2108,T-shirt/top,1
2015,Shirt,2
2015,T-shirt/top,6
2015,Dress,2
1326,Pullover,3
1326,Bag,6
1326,Trouser,1
185,Bag,3
185,Pullover,4
185,Shirt,2
185,Coat,1
554,Pullover,2
554,Bag,7
554,Dress,1
1363,Bag,6
1363,Trouser,1
1363,T-shirt/top,1
1363,Pullover,2
983,Bag,4
983,Pullover,4
983,Trouser,1
983,Shirt,1
511,T-shirt/top,1
511,Bag,6
511,Pullover,2
511,Coat,1
655,Pullover,4
655,Bag,4
655,Shirt,1
655,T-shirt/top,1
284,Bag,3
284,Pullover,4
284,Trouser,1
284,T-shirt/top,1
284,Shirt,1
1864,Bag,6
1864,Pullover,3
1864,T-shirt/top,1
1821,Bag,5
1821,Pullover,4
1821,T-shirt/top,1
1062,Bag,7
1062,Pullover,2
1062,Trouser,1
906,Bag,6
906,T-shirt/top,1
906,Pullover,3
1737,T-shirt/top,1
1737,Bag,7
1737,Pullover,2
594,Bag,4
594,Pullover,3
594,Coat,1
594,Shirt,1
594,Trouser,1
100,Shirt,2
100,Bag,4
100,Pullover,4
943,Bag,6
943,Pullover,3
943,Trouser,1
1772,Bag,5
1772,Trouser,1
1772,Pullover,2
1772,Shirt,2
1859,T-shirt/top,1
1859,Pullover,2
1859,Bag,7
668,Bag,6
668,Pullover,3
668,Shirt,1
1436,Trouser,1
1436,Shirt,2
1436,T-shirt/top,2
1436,Bag,3
1436,Sandal,1
1436,Pullover,1
201,Bag,6
201,Pullover,2
201,T-shirt/top,1
201,Dress,1
2028,Pullover,2
2028,Shirt,1
2028,Coat,1
2028,Bag,6
569,Bag,4
569,Pullover,4
569,T-shirt/top,1
569,Coat,1
359,Bag,5
359,Trouser,1
359,Pullover,2
359,T-shirt/top,2
788,Bag,5
788,Pullover,3
788,T-shirt/top,1
788,Trouser,1
431,Trouser,2
431,Bag,2
431,Pullover,2
431,Shirt,2
431,Dress,1
431,T-shirt/top,1
1206,Shirt,3
1206,Bag,2
1206,T-shirt/top,3
1206,Sandal,1
1206,Pullover,1
2135,Bag,7
2135,T-shirt/top,1
2135,Pullover,2
88,Bag,7
88,Pullover,2
88,T-shirt/top,1
30,Bag,6
30,Pullover,3
30,T-shirt/top,1
775,Bag,3
775,T-shirt/top,6
775,Dress,1
508,Bag,6
508,Pullover,2
508,Trouser,1
508,T-shirt/top,1
1412,Bag,6
1412,Shirt,1
1412,T-shirt/top,2
1412,Pullover,1
1457,Bag,6
1457,Pullover,2
1457,Shirt,1
1457,Coat,1
225,Pullover,3
225,Bag,4
225,Trouser,1
225,Coat,1
225,Shirt,1
1838,T-shirt/top,1
1838,Bag,4
1838,Shirt,1
1838,Pullover,4
609,Bag,6
609,Pullover,3
609,Trouser,1
161,Pullover,3
161,Bag,5
161,T-shirt/top,1
161,Shirt,1
922,Pullover,5
922,Shirt,1
922,Bag,4
1713,Pullover,4
1713,Bag,4
1713,T-shirt/top,1
1713,Trouser,1
124,Bag,3
124,Trouser,1
124,Shirt,2
124,T-shirt/top,4
1387,Pullover,3
1387,Bag,3
1387,T-shirt/top,2
1387,Coat,1
1387,Shirt,1
714,Pullover,3
714,Bag,6
714,T-shirt/top,1
1925,Bag,5
1925,Trouser,1
1925,Pullover,2
1925,Shirt,1
1925,Coat,1
380,Pullover,3
380,Bag,5
380,T-shirt/top,1
380,Trouser,1
1960,Bag,8
1960,Trouser,1
1960,Pullover,1
2210,Bag,6
2210,Pullover,2
2210,Trouser,1
2210,Shirt,1
2255,Trouser,1
2255,Bag,7
2255,Pullover,2
51,Bag,5
51,Pullover,3
51,T-shirt/top,1
51,Shirt,1
1267,Pullover,4
1267,Bag,6
415,Pullover,3
415,Trouser,2
415,Sandal,1
415,Dress,1
415,Shirt,1
415,T-shirt/top,2
1222,Pullover,3
1222,T-shirt/top,1
1222,Bag,6
450,Trouser,1
450,Bag,6
450,Pullover,1
450,T-shirt/top,1
450,Coat,1
2111,Pullover,1
2111,Bag,5
2111,Coat,1
2111,Trouser,2
2111,Shirt,1
2154,Pullover,2
2154,Bag,5
2154,Trouser,1
2154,Shirt,1
2154,Coat,1
338,Bag,5
338,Pullover,3
338,Shirt,2
2295,Bag,6
2295,Pullover,3
2295,Shirt,1
1577,Bag,6
1577,Shirt,1
1577,T-shirt/top,1
1577,Pullover,1
1577,Trouser,1
340,Bag,3
340,T-shirt/top,4
340,Pullover,1
340,Trouser,1
340,Dress,1
